word,type,note,url,sefaria_ref
ὁ,Greek,"Greek πύργος, ὁ.",https://chavrutai.com/yerushalmi/Eruvin/5#1-5,Jerusalem_Talmud_Eruvin.5.1.5
εὔθικτος,Greek,"Greek εὔθικτος, -ον.",https://chavrutai.com/yerushalmi/Eruvin/5#1-9,Jerusalem_Talmud_Eruvin.5.1.9
ον,Greek,"Greek εὔθικτος, -ον.",https://chavrutai.com/yerushalmi/Eruvin/5#1-9,Jerusalem_Talmud_Eruvin.5.1.9
ὄχλος,Greek,"Greek ὄχλος, ὁ, “multitude”.",https://chavrutai.com/yerushalmi/Eruvin/5#1-17,Jerusalem_Talmud_Eruvin.5.1.17
ὁ,Greek,"Greek ὄχλος, ὁ, “multitude”.",https://chavrutai.com/yerushalmi/Eruvin/5#1-17,Jerusalem_Talmud_Eruvin.5.1.17
ἰδιώτης,Greek,"Greek ἰδιώτης, ὁ. A non-professional may testify to the limits of the traditional Sabbath domain (Tosephta 4:16, see below) but may not initiate any changes. Rashba col. 345.",https://chavrutai.com/yerushalmi/Eruvin/5#4-2,Jerusalem_Talmud_Eruvin.5.4.2
ὁ,Greek,"Greek ἰδιώτης, ὁ. A non-professional may testify to the limits of the traditional Sabbath domain (Tosephta 4:16, see below) but may not initiate any changes. Rashba col. 345.",https://chavrutai.com/yerushalmi/Eruvin/5#4-2,Jerusalem_Talmud_Eruvin.5.4.2
πῆγμα,Greek,"Greek πῆγμα, τό. This expression is used for all structures that are not human dwellings. The pegma",https://chavrutai.com/yerushalmi/Eruvin/5#6-1,Jerusalem_Talmud_Eruvin.5.6.1
τό,Greek,"Greek πῆγμα, τό. This expression is used for all structures that are not human dwellings. The pegma",https://chavrutai.com/yerushalmi/Eruvin/5#6-1,Jerusalem_Talmud_Eruvin.5.6.1
quaestor,Latin,Latin quaestor,https://chavrutai.com/yerushalmi/Eruvin/6#2-4,Jerusalem_Talmud_Eruvin.6.2.4
ξενία,Greek,"Greek ξενία, ἡ, from ξενός in the sense of mercenary soldier.",https://chavrutai.com/yerushalmi/Eruvin/6#2-4,Jerusalem_Talmud_Eruvin.6.2.4
ἡ,Greek,"Greek ξενία, ἡ, from ξενός in the sense of mercenary soldier.",https://chavrutai.com/yerushalmi/Eruvin/6#2-4,Jerusalem_Talmud_Eruvin.6.2.4
ξενός,Greek,"Greek ξενία, ἡ, from ξενός in the sense of mercenary soldier.",https://chavrutai.com/yerushalmi/Eruvin/6#2-4,Jerusalem_Talmud_Eruvin.6.2.4
ξενία,Greek,"Greek ξενία, ἡ.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
ἡ,Greek,"Greek ξενία, ἡ.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
δισάκκιον,Greek,"Greek δισάκκιον, τό. He spread his things out in all rooms to that he could carry on the Sabbath in the entire building.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
τό,Greek,"Greek δισάκκιον, τό. He spread his things out in all rooms to that he could carry on the Sabbath in the entire building.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
πάνδοκος,Greek,"Greek adjective, πάνδοκος, -ον, “of a hostelry”.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
ον,Greek,"Greek adjective, πάνδοκος, -ον, “of a hostelry”.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
adjective,Greek,"Greek adjective, πάνδοκος, -ον, “of a hostelry”.",https://chavrutai.com/yerushalmi/Eruvin/6#3-6,Jerusalem_Talmud_Eruvin.6.3.6
triclinium,Latin,Latin triclinium,https://chavrutai.com/yerushalmi/Eruvin/6#6-1,Jerusalem_Talmud_Eruvin.6.6.1
papilio,Latin,Latin papilio,https://chavrutai.com/yerushalmi/Eruvin/6#6-2,Jerusalem_Talmud_Eruvin.6.6.2
