row,headword,sense_index,pos,etymology,definition,refs,other_refs
112,אֲחִיתֹ֫פֶל,1,masculine,my brother is folly?,"David’s trusted & traitorous counsellor, (×2), (×2), (×2).",II Samuel 15:12; II Samuel 15:31; II Samuel 15:34; II Samuel 16:15; II Samuel 16:20; II Samuel 16:21; II Samuel 16:23; II Samuel 17:1; II Samuel 17:6; II Samuel 17:7; II Samuel 17:14; II Samuel 17:15; II Samuel 17:21; II Samuel 17:23; II Samuel 23:34; I Chronicles 27:33; I Chronicles 27:34,
113,אַחְלָב²,1,locative (place name),,"town assigned to Asher, site unknown, 𝔊 Δαλαφ [Dalaph] (= Ααλαφ [Aalaph]) (WMaxMüllerAsien u. Europa 194 thinks corrupt. for מחלב, Assyrian Maḫalliba (which SchrCOT DlPa 283 comp. with אחלב and חֶלְבָּה); he reads n.pr.loc. מחלב for מֵחֶבֶל, 𝔊 καὶ ἀπὸ Λεβ [kai apo Leb] = וּמֵחֹלֶב; this would be on coast, N. of Achzib).",Judges 1:31; Judges 1:31; Joshua 19:29,
114,אַחְלָ֑י,1,,"DlPr 210 trans. O! would that! (cf. sub iii. supr. p. 25) § comp. interjectional Bab. name Aḫulapia, O! that I at last! ZimBP 116; cf. Ol§ 277; otherwise HalJAS 7, x. 360",,,"BDB, אַחֲלַי; BDB, אָח³"
115,אֲחַסְבַּי,1,masculine,,"father of Eliphelet, one of David’s heroes. (Meaning dub.; has אוּר׃, sq. חֵפֶר; text prob. corrupt.)",II Samuel 23:34; I Chronicles 11:35,
116,אַחֵר²,1,masculine,,"(ident. & meaning quite dub.; Be thinks = אַחֵר adj. another, to avoid naming Dan (cf. ) on account of the narrative Öt identifies with שַׁחֲרַיִם ).",I Chronicles 7:12; Genesis 46:23; Numbers 26:42; Judges 17; Judges 8:8,
117,אֲחַרְחֵל,1,masculine,,app. a descendant of Judah (deriv. & meaning dub.),I Chronicles 4:8,
118,אֲחַשְׁוֵרוֹשׁ,1,masculine,,"Ahasuerus = Xerxes (Pers. Khshayârshâ = mighty + eye or man, vid. Spiegel l.c. 216; in Aramaic חשיארש, CISII. i. 122 [b.c. 481]) king of Pers. (×2), + 18 textual Est + Qr (Kt אחשׁרשׁ); אֲחַשְׁוֵרֹשׁ; also where made father of ‘Darius the Mede,’ cf. Meinh.",Ezra 4:6; Esther 1:1; Esther 1:2; Esther 1:9; Esther 1:10; Esther 10:1; Esther 1:16; Esther 2:21; Esther 3:12; Esther 8:7; Esther 8:10; Daniel 9:1,
119,אָטֵר,1,masculine,binder?,a chief of Jews.,Ezra 2:16; Ezra 2:42; Nehemiah 7:20; Nehemiah 7:44; Nehemiah 10:18,
120,אַיָּה²,1,masculine,falcon,,,
121,אִיּוֹב,1,masculine,,"Job (meaning unknown; Thes √ איב; obj. of enmity, cf. for pass. sense יִלּוֹד; Ew comp. Ara. أَوَّابٌ [ʾawwābun] he who turns (to God); but cf. Di on; all dub. cf. LagBN 90), (×3), + 48 textual Jb.",Job 1:1; Job 1:1; Job 1:5; Job 1:8; Job 1:9; Job 1:14; Ezekiel 14:14; Ezekiel 14:20,
122,אִיזֶבֶל,1,feminine,"sense uncertain, CIS i. 158 there occurs the n.pr.f. בעלאזבל Baal exalts? or is husband to? [v. ], of which אִיזֶבֶל is conjectured by DHM to be an intentional alteration, made for the purpose of avoiding the name Baal. If so, א׳ perhaps suggested to the Hebrew ear the idea of un-exalted or un-husbanded","queen of Ahab, daughter of Ethbaal, king of Tyre; +; +.",I Kings 16:31; I Kings 18:4; I Kings 18:13; I Kings 18:19; I Kings 19:1; I Kings 19:2; I Kings 21:5; II Kings 9:7,"BDB, זָבַל"
123,אֵיל פָּארָן,1,locative (place name),terebinth (or palm? v. Di) of Paran,town & harbour at head of Ælanitic Gulf (v. Di); = אֵלָה; אֵילַת; אֵילוֹת; close to Ezion Geber (v. ).,Genesis 14:6; Genesis 36:41; Deuteronomy 2:8; II Kings 14:22; II Kings 16:6; I Kings 9:26; II Kings 16:6,"BDB, עֶצְיוֹן גֶּ֫בֶר"
124,אַיָּלוֹן,1,locative (place name),Deer-field,Aijalon—א׳ + 8 times; אַיָּלֹ֫נָה —,Joshua 10:12; I Samuel 14:31,
125,אֵילוֹת,1,locative (place name),,"id. (grove of lofty trees (palms?)); (cf., ).",I Kings 9:26; II Kings 16:6; II Chronicles 8:17; II Chronicles 26:2,"BDB, אֵיל פָּארָן; BDB, אֵילַת"
126,אֵילַת,1,locative (place name),lofty tree(s coll.?) i.e. palms? cf. Di,"town & harbour, N.E. arm of Red Sea, hence called Ælanitic Gulf (= Gulf of Akaba, from neighbouring fortress); (×2) (perhaps later designat. for fuller איל פארן q.v.) = 𝔊 Αἰλων, Αἰλαθ [Ailōn, Ailath], Gr. Αἰλανα [Ailana], etc.; = אֵלָה (? v. Di), אֵילוֹת infr.",Genesis 14:6; Deuteronomy 2:8; II Kings 14:22; II Kings 16:6; Genesis 36:41,
127,אִישׁ־בֹ֫שֶׁת,1,masculine,,"Ishbosheth (for אִישׁ בַּעַל man of Baal v., & Diἡ βααλ [hē baal] MBAk, June 1881)",,"BDB, בֹּשֶׁת; BDB, בַּ֫עַל"
128,אִיתִיאֵל,2,masculine,,"(×2) נְאֻם הַגֶּבֶר לְאִיתִיאֵל לְאִיתִיאֵל וְאֻכָֽל׃, in MT n.pr.m. (prob. with me is God: v. Ol§ 82 c) usually taken as name of a son or pupil of Agur; but most moderns read לָאִיתִי אֵל לָאִיתִי אֵל וָאֵֽכֶל׃ I have wearied myself (v. ), O God, I have wearied myself, O God, and am consumed.",Proverbs 30:1,"BDB, לָאָה"
129,אִיתָמָר,1,masculine,(is) land of palms? Thes,"youngest (4th) son of Aaron; (all P), (×2).",Exodus 6:23; Exodus 28:1; Exodus 38:21; Leviticus 10:6; Leviticus 10:12; Leviticus 10:16; Numbers 3:2; Numbers 3:4; Numbers 4:28; Numbers 4:33; Numbers 7:8; Numbers 26:60; I Chronicles 5:29; I Chronicles 24:1; I Chronicles 24:2; I Chronicles 24:3; I Chronicles 24:4; I Chronicles 24:5; I Chronicles 24:6; Ezra 8:2,
130,אֵיתָן³,1,masculine,,"a wise man (where called הָאֶזְרָחִי) named with הֵימָן, כַּלְכֹּל, דַּרְדַּע; cf. (where these 4 with זִמְרִי are בְּנֵי זֶרַח); also; called בֶּן־קִישִׁי = בֶּן־קוּשָׁיָ֫הוּ, where, and v, named as Levit. singer with הֵימָן and אָסָף (q.v.; יְדוּתוּן for אֵיתָן in this group, v. ); לְאֵיתָן הָאֶזְרָחִי (title).",I Kings 5:11; I Chronicles 2:6; I Chronicles 2:8; I Chronicles 6:27; I Chronicles 6:29; I Chronicles 15:17; I Chronicles 2:19; I Chronicles 25:1; I Chronicles 25:6; II Chronicles 5:12; II Chronicles 35:15; Psalms 89:1,"BDB, יְדוּתוּן"
131,אַכְזִיב,1,locative (place name),,,,
132,אָכִישׁ,1,masculine,,"king of Gath, + 15 textual +, (perh. cf. ܐܰܟܬܳܐ [אכתא] anger).",I Samuel 21:11; I Samuel 21:12; I Samuel 21:13; I Samuel 21:15; I Samuel 27-29; I Kings 2:39; I Kings 2:40,
133,אַכְשָׁף²,1,locative (place name),,"in (Northern) Canaan, with a king; situated on the border of Asher, Egyptian ʾA-k-sap WMMAs. u. Eur. 181; 𝔊B Αζειφ [Azeiph], A Ἀχσαφ [Achsaph], 𝔊L (Ἀ [A])χασαφ [chasaph], etc.; site dub.; mod. Iksâf or Kesâf, RobBR iii. 55, c. 17 m. E. of Tyre, and nearly 3 m. SW. of the great bend of the Liṭâny, is phonetically suitable, but much too far NE. for; poss. there were two Akšaphs; cf. Di BuhlGeogr.237. Vid. further Krall Tyrus u. Sidon 10, LagOnom. 218. 91, 3; 2d ed. 239.",Joshua 11:1; Joshua 12:20; Joshua 19:25; Joshua 19:25; Joshua 11:1,
134,אֵל⁴,9,,,Ēl n.pr. אל ברית Ēl Berith (= בעל ברית; ); בְּאֵר אֵלִים s. p. 91 b,Judges 9:46; Judges 8:33; Judges 9:4,
135,אֵלָא,1,masculine,,father of an officer of Solomon (= ii. אֵלָה terebinth?).,I Kings 4:18,
136,אֶלְדָּד,1,masculine,"God has loved, cf. Sab. ודדאל DHMZMG 1883, 15; v. also","one of the elders; prob. = אֱלִידָד where called a prince of Benjamin.—On n.pr. with אֵל cf. those with אָב & אָח, & especially Nöl.c., v. p. 42, & (Sab.) DHMEpigr. Denkm.88.",Numbers 11:26; Numbers 11:27; Numbers 34:21,"BDB, יְדָיָה"
137,אֵלָה²,1,masculine,"terebinth, cf. sub i.",,Genesis 49:21,"BDB, אֵלָה"
138,אֵלָה²,3,locative (place name),,a chief of Edom = (= אֵילַת n.pr.loc.? v. Di),Genesis 36:41; I Chronicles 1:52,
139,אֵלוֹן²,1,masculine,'= id. cf. n.pr.,,,"BDB, אֵלָה²"
140,אֵלוֹן²,9,locative (place name),,אֵילוֹן a town of Dan; so (where read א׳ וּבֵית ח׳ Th Klo).,Joshua 19:43; I Kings 4:9,
141,אַלּוֹן²,1,masculine,oak,a Simeonite (on v. p. 18).,I Chronicles 4:37; Joshua 19:33,"BDB, אֵלוֹן"
142,אֶלְזָבָד,1,masculine,"God has given, cf. Θεόδωρος [Theodōros], זַבְדִּיאֵל, זְבַדְיָה",,,
143,אֶלְחָנָן,1,masculine,"God has been gracious, cf. Ph. אלחנן, בעלחנן, in Assyrian Baʾalḫanunu COT",two of David’s chiefs =; =.,Genesis 10:18; II Samuel 21:19; I Chronicles 20:5; II Samuel 23:24; I Chronicles 11:26,
144,אֱלִיאָב,1,masculine,"God is father, cf.",,,"BDB, אֲבִיאֵל"
145,אֱלִיאֵל,1,masculine,"Ēl is God, or my God is God",only Ch.,,
146,אֱלִיאָ֫תָה,1,masculine,God has come,a Hemanite = אֱלִיָּתָה.,I Chronicles 25:4; I Chronicles 25:27,
147,אֶלְיָדָע,1,masculine,"God knows, cf., Sab. אלידע Hal 209",,,"BDB, דְּעוּאֵל"
148,אֵלִיָּה,1,masculine,,"+ 4 times; אֵלִיָּ֫הוּ + 62 times; n.pr.m. (Yah(u) is God, cf. )",II Kings 1:3; I Kings 17:1,"BDB, יוֹאֵל"
149,אֱלִיהוּ,1,masculine,,+ 3 times; אֱלִיהוּא + 6 times; n.pr.m. (He is (my) God),Job 32:4; Job 32:2,
150,אֶלְיְהוֹעֵינַי,1,masculine,unto י׳ are mine eyes,,,
151,אֶלְיוֹעֵינַי,1,masculine,id.,,,
152,אֶלְיַחְבָּא,1,masculine,God hides,one of David’s chiefs.,II Samuel 23:32; I Chronicles 11:33,
153,אֱלִיחֹ֫רֶף,1,masculine,Autumn God? cf.,one of Solomon’s scribes.,Job 29:4; I Kings 4:3,
154,אֱלִימֶ֫לֶךְ,1,masculine,& ־מֶ֑לֶךְ,"n.pr.m. (God is king, cf. ) husband of Naomi.",Ruth 2:1; Ruth 1:2; Ruth 1:3; Ruth 2:3; Ruth 4:3; Ruth 4:9,"BDB, מַלְכִּיאֵל"
155,אֶלְיָסָף,1,masculine,God has added,,,
156,אֱלִיעֶ֫זֶר,1,masculine,־עֶ֑זרֶ +,"n.pr.m. (God is help, cf.; v. also infr., עֲזַרְאֵל, Ph. אשמנעזר, בעלעזר, עזרבעל)",Genesis 15:2; Exodus 18:4,"BDB, אֶלְעָזָר"
157,אֱלִיעָם,1,masculine,God is kinsman; Ph. אלעם,,,
158,אֱלִיפַז,1,masculine,God is fine gold?,,,
159,אֱלִיפָל,1,masculine,God has judged,one of David’s heroes (but v. ).,I Chronicles 11:35; II Samuel 23:34,"BDB, אלה"
160,אֱלִיפֶ֫לֶט,1,masculine,־פָ֑לֶט +,"n.pr.m. (God is deliverance, cf. )",II Samuel 5:16,"BDB, פַּלְטִיאֵל"
161,אֱלִיצוּר,1,masculine,"צור Rock is God, cf.; v. also",chief of Reuben.,Deuteronomy 32:4; Numbers 1:5; Numbers 2:10; Numbers 7:30; Numbers 7:35; Numbers 10:18,"BDB, צוּרִיאֵל"
162,אֱלִיצָפָן,1,masculine,"God has protected, cf. Ph. צפנבעל",,,
163,אֱלִיקָא,1,masculine,"? not in 𝔊, Dr",one of David’s heroes.,I Chronicles 11:27; II Samuel 23:25,
164,אֶלְיָקִים,1,masculine,"God sets up, cf. Sab. הקמאל, יקמאל Hal615",,,
165,אֱלִישֶׁ֫בַע,1,feminine,"God is an oath, by which one swears, cf.","wife of Aaron; = Ἐλεισαβεθ [Eleisabeth] 𝔊, cf. Lu.",Isaiah 19:18; Amos 8:14; Zephaniah 1:5; Exodus 6:23; Exodus 1:5,
166,אֱלִישָׁה,1,locative (place name),,"as son of Javan; אִיֵּי א׳ (Aeolis Josephus Jer Kn; H. DerenbourgMélanges Graux, 235 f (Eng. trans. Hbr. Oct. 1887, 7); Hellas 𝔗 Jon etc., LenOrig. ii. 2. 34 f; Italy, with Sicily, cf. מְדִינַת אִיטַלְיָא 𝔗 Ezek, Di; Carthage = Elissa, StaDe Populo Javan, 8 f; E. MeyerGesch. i. § 282; decision difficult; last view very attractive).",Genesis 10:4; I Chronicles 1:7; Ezekiel 27:7; Genesis 10:4,
167,אֶלְיָשִׁיב,1,masculine,"God restores, cf. NesEg194 & Sab. תֿובאל DHMZMG 1883, 16",,,
168,אֱלִישָׁע,1,masculine,"God is salvation, cf., Sab. יתֿעאל DHMZMG 1883, 15","the prophet Elisha, the successor of Elijah + 57 times all K; Ἐλισα, Ἐλισαιε [Elisa, Elisaie] 𝔊; Ἐλισαιος [Elisaios] Lu 4:27.",I Kings 19:16,"BDB, אֱלִישׁוּעַ"
169,אֱלִישָׁפָט,1,masculine,"God has judged, Ph. בעלשפט, שפטבעל",a captain in the time of Jehoiada.,II Chronicles 23:1,
170,אַלְמוֹדָד,1,,,"of South-Ara. people (but prob. rd. אֵל (Sab., god) for אַל, cf. Di, & GlSK ii. 280. 425. 435 God is loved).",Genesis 10:26; Genesis 10:26; I Chronicles 1:20,
171,אֶלְנָ֑עַם,1,masculine,God is pleasantness,father of two of David’s heroes (not in S).,I Chronicles 11:46,
172,אֶלָּסָר,1,locative (place name),,"Ellasar, (= Bab. Larsa, mod. Senkereh, c. 28 miles NE. from Ur; cf. LoftCS 240 f DlPa 223 f TieleGesch. i. 86, COTad loc.).",Genesis 14:1; Genesis 14:9,
173,אֶלְעוּזַי,1,masculine,"God is my strength = אֶלְעֻזּי, cf., Sab. אלעת֡ (אלעז) DHMZMG 1883, 15",one of the heroes of David.,I Chronicles 12:5,"BDB, עֻזִּיאֵל"
174,אֶלְעָזָר,1,masculine,"God has helped, cf. supr.",,,"BDB, אֱלִיעֶ֫זֶר"
175,אֶלְעָלֵא,1,locative (place name),,"‖ אֶלְעָלֵה n.pr.loc. (God doth ascend?) of a village in the tribe of Reuben, near Heshbon, in ruins, el Âl (vid. RbBR ii, 278).",Numbers 32:3; Numbers 32:37; Isaiah 15:4; Isaiah 16:9; Jeremiah 48:34,
176,אֶלְעָשָׂה,1,masculine,"God has made, cf., etc.",,,"BDB, עֲשָׂהאֵל; BDB, יַעֲשִׂיאֵל"
177,אֶ֫לֶף³,1,locative (place name),,"city in Benj., הָא׳; perhaps Lifta NW. from Jerus. Surveyiii. 18.",Joshua 18:28,
178,אֶלְפַּ֫עַל,1,masculine,God of doing? cf. Ph. פעלאבסת,a Benjamite.,I Chronicles 8:11; I Chronicles 8:12; I Chronicles 8:18,
179,אֶלְקָנָה,1,masculine,"God has created, or taken possession",,,
180,אֶלְתְּקֵא,1,locative (place name),,"Levitical city in the tribe of Dan, between Ekron & Timna, Assyrian Altaku (COT).",Joshua 19:44; Joshua 21:23,
181,אַמָּה⁵,1,locative (place name),,"hill near Gibeon, גִּבְעַת־אַמָּה.",II Samuel 2:24,
182,אָמוֹן,1,,,"Amon, an Egyptian god, comp. by Greeks with Zeus (Herod. ii, 42; Diod i. 13), Ἀμμῶν [Ammōn]. He was originally the local deity of Thebes (= נֹא, called נֹא אָמוֹן, cf. א׳ מִנֹּא ), but subsequently became the supreme god of the Egyptian Pantheon, the successor of the sun-god Ra and so-called Amon Ra. He was the secret god, who hid himself and was difficult to find (Amon = concealment, hidden); v. Rawl. Hist. Anc. Egypt, i, 322 Ebers. RiHWB. Spiegelberg Randglossen, 43 ff. reads נֹא אָמוֹן (as ) for אָמוֹן נֹא, and finds in both a Thebes in the Delta. (ii. iii. אָמוֹן v. p. 54.)",Nahum 3:8; Jeremiah 46:25; Nahum 3:8; Jeremiah 46:25; Jeremiah 46:25; Nahum 3:8,
183,אָמוֹן³,1,masculine,master-workman,(a) king of Judah; (b) captain of a city; (c) one of the line of Solomon’s servants = אָמִי.,II Kings 21:18; II Kings 21:19; II Kings 21:23; II Kings 21:24; II Kings 21:25; I Chronicles 3:14; II Chronicles 33:20; II Chronicles 33:21; II Chronicles 33:22; II Chronicles 33:23; II Chronicles 33:25; Jeremiah 1:2; Jeremiah 25:3; I Kings 22:26; II Chronicles 18:25; Nehemiah 7:58; Ezra 2:57,
184,אָמוֹץ,1,masculine,,father of Isaiah ( = following); =.,Isaiah 1:1; Isaiah 2:1; Isaiah 13:1; Isaiah 20:2; Isaiah 37:2; Isaiah 37:21; Isaiah 38:1; II Kings 19:2; II Kings 19:20; II Kings 20:1; II Chronicles 26:22; II Chronicles 32:20; II Chronicles 32:32,
185,אָמִי,1,masculine,,'= iii. אָמוֹן.,Ezra 2:57; Nehemiah 7:58,
186,אֲמָם,1,locative (place name),,"in southern Judah (𝔊L Ἀμαμ [Amam], so A, but B Σην [Sēn]).",Joshua 15:26,
187,אֲמָנָה²,1,river,,,,
188,אַמְנוֹן,1,masculine,faithful,,,
189,אַמְצִי,1,masculine,,,,
190,אֲמַצְיָ֫הוּ,1,masculine,י׳ is mighty,,,
191,אִמֵּר,1,masculine,,,,
192,אִמֵּר,11,locative (place name),?,'=.,Ezra 2:59; Nehemiah 7:60,
193,אֱמֹרִי,1,masculine (coll),construed as pl. + 5 times,"Amorites (perhaps = mountain-dwellers, cf., etc. & Di al.)—always c. art., except. Meaning mountain-dwellers very dub.; on א׳ = Egyptian ʾA-ma-ra v. WMMAs. u. Eur. 229 ff., = TelAm. and Assyrian Amurru, v. WklTelAm. 36 JastrEB Canaan, § 10 SayHastDB Amorites al.; cf. also GFM, Dr Gray.",Deuteronomy 3:9; Numbers 13:29; Deuteronomy 1:7; Deuteronomy 1:19; Genesis 10:16; Numbers 21:29; Ezekiel 16:45; Judges 4; Judges 5; Deuteronomy 1:7; Numbers 13:29,
194,אִמְרִי,1,masculine,,,,
195,אֲמַרְיָ֫הוּ,1,masculine,"Yah(u) hath promised, cf. Palm. אמרשמשא, Sab. יתעאמר",long form only.,I Chronicles 24:23; II Chronicles 19:11; II Chronicles 31:15,
196,אַמְרָפֶל,1,masculine,,"king of Shinar, (prob. = חמרבי, Ḫammurabi of Babylon, who reigned c. 2100 b.c., cf. SchrSBA 1887, xxxi (June 23) COTii. 296 f. Dl in DeGen 1887, Excursus).",Genesis 14:1; Genesis 14:9,
197,אֲמִתַּי,1,masculine,"true, from אֱמֶת by adj. affix -י",father of the prophet Jonah.,II Kings 14:25; Jonah 1:1,
198,אֹן,1,locative (place name),,"אוֹן ( ) n.pr.loc. On (Egypt. Ȧn cf. EbGS 75 WiedSamml 46; perhaps = Assyrian Unu, SteindorffBAS i. 610, contr. DlPa 318) city in lower Egypt, prob. on border of land of Goshen, residence of ‘Potiphera, priest of On,’ father-in-law of Joseph; also (where MT אָוֶן); it was celebrated for worship of sun-god Ra, & hence called also sun-city, בֵּית שֶׁמֶשׁ, 𝔊 Ἡλίου πόλις [Hēliou polis]; mod. Matariye, on E. bank of Nile, c. 7 miles E. of N. from Cairo & 18 from Memphis;—cf. EbGS 75, 507 f. & map Wiedl.c.",Genesis 41:45; Genesis 46:20; Genesis 41:50; Ezekiel 30:17; Genesis 41:45; Genesis 41:50; Genesis 46:20; Ezekiel 30:17; Jeremiah 43:13,
199,אֱנוֹשׁ²,1,masculine,,son of Seth.,Genesis 4:26; Genesis 5:6; Genesis 5:7; Genesis 5:9; Genesis 5:10; Genesis 5:11; I Chronicles 1:1,
200,אָסָא,1,masculine,perhaps healer,"I king of Judah, son of Abijam and father of Jehoshaphat, + 24 times; + 28 times. Perhaps apoc. theophoric name, cf.. Also son of Elkanah and father of Berechiah.",I Kings 15:8; I Kings 15:9; I Kings 15:11; I Kings 15; I Kings 16; I Kings 22; I Chronicles 3:10; II Chronicles 13:23; II Chronicles 14-21; Jeremiah 41:9; I Chronicles 9:16,"BDB, רְפָאֵל"
201,אַסִּיר²,1,masculine,,son of Korah; called son of Ebiasaph v.,Exodus 6:24; I Chronicles 6:7; I Chronicles 6:8; I Chronicles 6:22,
202,אַסְנָה,1,masculine,Aramaic אֲסָנָא thorn-bush?,head of a family of Nethinim (om. ).,Ezra 2:50; Nehemiah 7:51,
203,אָֽסְנַת,1,feminine,,"wife of Joseph (𝔊 Ἀσεννεθ [Asenneth], 𝔊L Ἀσσενεθ [Asseneth]; Egyptian, = belonging to (goddess) Neith (Thes); CookSpeaker’s Comm. i.479 proposes either As-Neit, favourite of Neith, or Isis-Neit).",Genesis 41:45; Genesis 41:50; Genesis 46:20,
204,אָסָף,1,masculine,"gatherer, cf. Ph. n.pr.f. אספת",,,
205,אַסְפָּ֑תָא,1,masculine,,"3rd son of Haman (Pers. aspadâta, ab equo sacre datus according to Thes Add71, after Pott & Benefy).",Esther 9:7,
206,אֶסְתֵּר,1,feminine,,"Esther (Pers. stâra, star)—daughter of Abihail, cousin and adopted daughter of Mordecai, of tribe of Benjamin; made queen in Vashti’s place by Ahasuerus; her Jewish name הֲדַסָּה q.v., (×2), + 47 times Est.",Esther 2:7; Esther 2:8; Esther 2:10; Esther 2:11; Esther 2:15; Esther 2:16; Esther 2:17,
207,אֵפֹד,1,masculine,,father of a chief of Manasseh.,Numbers 34:23,
208,אֲפִיחַ,1,masculine,,an ancestor of Saul (etymology & meaning dubious).,I Samuel 9:1,
209,אַפַּיִם,1,masculine,,a son of Nadab.,I Chronicles 2:30; I Chronicles 2:31,
210,אֶפְלָל²,1,masculine,,"in Judah (×2), Αφαμηλ [Aphamēl], etc., 𝔊L Ελφαελ [Elphael].",I Chronicles 2:37,
211,אֲפֵק,1,locative (place name),,"n.pr.loc. Aphek (perhaps enclosure, or fortress).",Judges 1:31,
212,אֶפְרַ֫יִם,1,masculine,,"Ephraim ( connected with הִפְרָה, Hiph. of פרה, cf. Hiph. ).",Genesis 41:52; Hosea 13:15,"BDB, פרא"
213,אֶפְרָ֫תָה,1,,v. Sta§ 308 d. 1; 342 d. 2; Morgenl. Forsch. 215,"—might in several cases, e.g., be אֶפְרָת + ה loc., but v.;—",Genesis 35:16; Ruth 4:11,
214,אֶפְרָ֫תָה,3,locative (place name),,"place near Bethel, where Rachel died & was buried; (אֶפְרָת only where ה perhaps dropped on acc. of ה following (Ol); in last two passages הוא בית לחם is a gloss, v. Di; cf. ).",Genesis 35:16; Genesis 35:19; Genesis 48:7; Genesis 48:7; I Samuel 10:2,
215,אֶפְרָ֫תָה,9,feminine,,אֶפְרָת name given to wife of Caleb = אֶפְרָ֑תָה v.,I Chronicles 2:19; I Chronicles 2:50; I Chronicles 4:4,
