row,headword,sense_index,pos,etymology,definition,refs,other_refs
521,הַגְּדוֹלִים,1,masculine,,father of Zabdiel (RV & so most; but 𝔊 RVm al. the great).,Nehemiah 11:14,
522,הֵגַי,1,masculine,,v..,,"BDB, הֵגֵא"
523,הָגָר,1,feminine,,"Hagar, Sarah’s Egyptian maid, mother of Ishmael, (all J), v, (×2); (all P), (×2) (all E).",Genesis 16:1; Genesis 16:4; Genesis 16:8; Genesis 16:3; Genesis 16:15; Genesis 16:16; Genesis 25:12; Genesis 21:9; Genesis 21:14; Genesis 21:17,
524,הַגְרִי,2,gentilic (people group),,"only pl. הַגְרִים; הַהַגְרִאִים, הַהַגְרִיאִים; a tribe (Aramaean? Arabian?) with which the E. Jordan Israelites waged successful war; v. dub. conj. as to identity in GlasSkizze ii, 407.",Psalms 83:7; I Chronicles 5:10; I Chronicles 5:19; I Chronicles 5:20,
525,הַגְרִי,6,masculine,,"father of one of David’s warriors בֶּן־הַגְרִי (but ‖ בָּנִי הַגָּדִי, so here Öt, cf. Be Th Sm Dr Sm).",I Chronicles 11:38; II Samuel 23:36,
526,הֲדַד,1,masculine,,"Hadad (𝔊 Ἀδερ [Ader] but v. Aramaic n.pr.div. DHMAltsem. Inschr. von Sendschirli 56, and n.pr. עבדהדד ScholzGötzendienst 245, הדדנדנאח EutSBAk 1887, 410 cf. BaeRel. 68 & sub. p. 122; also Adda, etc., in cpd. n.pr. BezTell el-Amarna BM 155; Hadad, Adad, Addu is known as an Aramaic deity, weather or storm-god, cf. BaeRel. 67.68; perhaps = thunderer DlZK 1885, 166 Bael.c., cf.; on Hadad in Arabia cf. WeSkizzen iii. 51; Sab. הדד Hal 27; as n.pr.div. Heb. only in cpd. n.pr.m., v. infr.)—",,"BDB, הדד; BDB, בֶּן־הֲדַד; BDB, רִמָּה"
527,הֲדַדְעֶ֫זֶר,1,masculine,,"Hadadezer (so Aramaic inscr. הדדעזר EutSBAk 1885, 679 cf. BaeRel. 67; 𝔊 throughout (erroneously) Ἁδρα [Hadra](α [a])ζαρ [zar];—Hadad is help(er), cf. COT & Ph. אשמנעזר); king of צוֹבָה (q.v.), son of רְחֹב defeated by David; הֲדַדְעָ֑זֶר v, (= הֲדַרְעֶזֶר q.v. (×2), (×2), all erron., v. inscr. supr., = cf. Bael.c. Dr on; ); also.",I Kings 20:1; II Samuel 8:3; II Samuel 8:5; II Samuel 8:10; II Samuel 8:12; II Samuel 8:7; II Samuel 8:8; II Samuel 8:9; II Samuel 8:10; II Samuel 10:16; II Samuel 10:19; I Chronicles 18:3; I Chronicles 18:5; I Chronicles 18:7; I Chronicles 18:8; I Chronicles 18:10; I Chronicles 19:16; I Chronicles 19:19; II Samuel 8:3; II Samuel 10:16; I Kings 11:23,
528,הֲדוֹרָם,1,masculine,,,,
529,הִדַּי,1,masculine,,one of David’s heroes = חוּרַי.,II Samuel 23:30; I Chronicles 11:32,
530,הֲדַסָּה,1,feminine,,"Jewish name of Esther (= myrtle, on form cf. Sta§ 199a) (cf. ).",Esther 2:7,"BDB, אֶסְתֵּר"
531,הֲדַר,1,masculine,,"a king in Edom (Aramaic form) = הֲדַד (q.v.) (so here Codd., 𝔖 Sam. no doubt rightly, cf. Di).",Genesis 36:39; I Chronicles 1:50,
